,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual/registered,temperature_cat
0,1,2011-01-01,Springer,2011,January,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",376.264903,511.95050000000003,123.0,720.242094,331,654,985,0.5061162079510704,Rendah
1,2,2011-01-02,Springer,2011,January,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",418.9229020000001,468.88708400000024,123.0,1115.691571,131,670,801,0.19552238805970149,Rendah
2,3,2011-01-03,Springer,2011,January,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",49.76807600000001,-246.95182000000005,123.0,1114.659101,120,1229,1349,0.09764035801464606,
3,4,2011-01-04,Springer,2011,January,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",57.80000000000001,-147.996568,123.0,719.568744,108,1454,1562,0.07427785419532325,Rendah
4,5,2011-01-05,Springer,2011,January,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",117.34801299999998,-73.29988000000004,123.0,838.9941000000001,82,1518,1600,0.05401844532279315,Rendah
5,6,2011-01-06,Springer,2011,January,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",67.40473199999997,-56.14159599999994,123.0,402.0581828,88,1518,1606,0.057971014492753624,Rendah
6,7,2011-01-07,Springer,2011,January,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",50.117098000000034,-162.297316,123.0,757.4110139999999,148,1362,1510,0.10866372980910426,Rendah
7,8,2011-01-08,Springer,2011,January,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",-19.514999999999965,-365.22157599999997,123.0,1197.683156,68,891,959,0.07631874298540965,
8,9,2011-01-09,Springer,2011,January,No,Sunday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",-78.42240299999996,-565.9417,123.0,1624.79355,54,768,822,0.0703125,
9,10,2011-01-10,Springer,2011,January,No,Monday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-50.809903000000034,-414.731872,123.0,1002.245563,41,1280,1321,0.03203125,
10,11,2011-01-11,Springer,2011,January,No,Tuesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",-10.477981000000014,-237.98281600000004,123.0,548.2505480000001,43,1220,1263,0.03524590163934426,
11,12,2011-01-12,Springer,2011,January,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy, Partly cloudy",-2.4460570000000015,-372.97961200000003,123.0,1367.470603,25,1137,1162,0.02198768689533861,
