,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Atemp Category,Windspeed Category,Hum Category,temperature_cat
0,1,2011-01-01,Springer,2011,January,0,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,3.0014000000000003,81.0,0.0,3,13,16,Medium,Low,Extremely High,Rendah
1,2,2011-01-01,Springer,2011,January,1,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,1.9982000000000006,80.0,0.0,8,32,40,Medium,Low,Very High,Rendah
2,3,2011-01-01,Springer,2011,January,2,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,1.9982000000000006,80.0,0.0,5,27,32,Medium,Low,Very High,Rendah
3,4,2011-01-01,Springer,2011,January,3,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,3.0014000000000003,75.0,0.0,3,10,13,Medium,Low,Very High,Rendah
4,5,2011-01-01,Springer,2011,January,4,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,3.0014000000000003,75.0,0.0,0,1,1,Medium,Low,Very High,Rendah
5,6,2011-01-01,Springer,2011,January,5,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3.2799999999999994,1.0015999999999998,75.0,6.0032,0,1,1,Medium,Low,Very High,Rendah
6,7,2011-01-01,Springer,2011,January,6,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",2.34,1.9982000000000006,80.0,0.0,2,0,2,Medium,Low,Very High,Rendah
7,8,2011-01-01,Springer,2011,January,7,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",1.4000000000000004,1.0015999999999998,86.0,0.0,1,2,3,Medium,Low,Extremely High,Rendah
8,9,2011-01-01,Springer,2011,January,8,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",3.2799999999999994,3.0014000000000003,75.0,0.0,1,7,8,Medium,Low,Very High,Rendah
9,10,2011-01-01,Springer,2011,January,9,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",7.040000000000001,7.000999999999998,76.0,0.0,8,6,14,Medium,Low,Very High,Rendah
10,11,2011-01-01,Springer,2011,January,10,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",9.86,9.997399999999999,76.0,16.997899999999998,12,24,36,Medium,Medium,Very High,Rendah
11,12,2011-01-01,Springer,2011,January,11,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",8.919999999999998,5.997799999999998,81.0,19.0012,26,30,56,Medium,Medium,Extremely High,Rendah
12,13,2011-01-01,Springer,2011,January,12,No,Saturday,No,"Clear, Few clouds, Partly cloudy, Partly cloudy",11.739999999999998,11.997200000000003,77.0,19.0012,29,55,84,High,Medium,Very High,Sedang
13,14,2011-01-01,Springer,2011,January,13,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.620000000000001,13.997,72.0,19.999499999999998,47,47,94,High,Medium,Very High,Sedang
14,15,2011-01-01,Springer,2011,January,14,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.620000000000001,13.997,72.0,19.0012,35,71,106,High,Medium,Very High,Sedang
15,16,2011-01-01,Springer,2011,January,15,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.68,13.000399999999999,77.0,19.999499999999998,40,70,110,High,Medium,Very High,Sedang
16,17,2011-01-01,Springer,2011,January,16,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",11.739999999999998,11.997200000000003,82.0,19.999499999999998,41,52,93,High,Medium,Extremely High,Sedang
17,18,2011-01-01,Springer,2011,January,17,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.68,13.000399999999999,82.0,19.0012,15,52,67,High,Medium,Extremely High,Sedang
18,19,2011-01-01,Springer,2011,January,18,No,Saturday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",11.739999999999998,11.997200000000003,88.0,16.997899999999998,9,26,35,High,Medium,Extremely High,Sedang
19,20,2011-01-01,Springer,2011,January,19,No,Saturday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",11.739999999999998,11.997200000000003,88.0,16.997899999999998,6,31,37,High,Medium,Extremely High,Sedang
20,21,2011-01-01,Springer,2011,January,20,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,87.0,16.997899999999998,11,25,36,High,Medium,Extremely High,Sedang
21,22,2011-01-01,Springer,2011,January,21,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,87.0,12.998000000000001,3,31,34,High,Low,Extremely High,Sedang
22,23,2011-01-01,Springer,2011,January,22,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",10.8,11.000600000000002,94.0,15.001299999999999,11,17,28,High,Medium,Extremely High,Sedang
23,24,2011-01-01,Springer,2011,January,23,No,Saturday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.620000000000001,13.997,88.0,19.999499999999998,15,24,39,High,Medium,Extremely High,Sedang
24,25,2011-01-02,Springer,2011,January,0,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",13.620000000000001,13.997,88.0,19.999499999999998,4,13,17,High,Medium,Extremely High,Sedang
25,26,2011-01-02,Springer,2011,January,1,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",12.68,13.000399999999999,94.0,16.997899999999998,1,16,17,High,Medium,Extremely High,Sedang
